"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
3.341509744E1,1.230942974E1,7.664421550E1,7.669590857E2,6.788742676E2,0.000000000E0,0.000000000E0,7.455145312E-2,3.790092468E0,2.980658531E0,2.500000000E1
3.440906624E1,1.230946135E1,7.664422647E1,7.674902058E2,6.794055176E2,2.539999962E0,5.000000000E0,7.890274830E-2,3.790092468E0,2.812886477E0,2.600000000E1
3.541444863E1,1.230949381E1,7.664424884E1,7.670645370E2,6.789799805E2,3.150000095E0,3.515000000E2,8.328021276E-2,3.790092468E0,2.640711069E0,2.600000000E1
3.641351072E1,1.230953182E1,7.664425933E1,7.673093754E2,6.792249756E2,4.650000095E0,3.959999847E1,8.813428075E-2,3.790092468E0,2.720954895E0,2.900000000E1
3.741237332E1,1.230957427E1,7.664426975E1,7.660082969E2,6.779240723E2,4.949999809E0,3.559999847E1,9.301369351E-2,3.790092468E0,2.679687023E0,3.000000000E1
3.842185514E1,1.230961601E1,7.664428361E1,7.644268264E2,6.763427734E2,5.119999886E0,1.260000038E1,9.847176754E-2,3.790092468E0,2.761161327E0,3.000000000E1
3.941871368E1,1.230966345E1,7.664429651E1,7.641690624E2,6.760852051E2,5.289999962E0,1.269999981E1,1.039476997E-1,3.790092468E0,2.746199369E0,3.000000000E1
4.041226243E1,1.230971177E1,7.664430624E1,7.644755032E2,6.763918457E2,5.699999809E0,8.600000381E0,1.097141846E-1,3.790092468E0,2.800967216E0,3.300000000E1
4.140636113E1,1.230976222E1,7.664431853E1,7.640879658E2,6.760045166E2,6.179999828E0,1.679999924E1,1.173660237E-1,3.790092468E0,2.786907911E0,3.500000000E1
4.241964650E1,1.230982907E1,7.664433524E1,7.634830757E2,6.753999023E2,6.690000057E0,1.019999981E1,1.244326652E-1,3.790092468E0,2.833662510E0,3.400000000E1
4.340437868E1,1.230989098E1,7.664434993E1,7.635565505E2,6.754736328E2,6.800000191E0,7.900000095E0,1.335658084E-1,3.790092468E0,2.998050213E0,3.400000000E1
4.441311785E1,1.230997051E1,7.664437094E1,7.636858611E2,6.756032715E2,8.170000076E0,1.080000019E1,1.415614368E-1,3.790092468E0,2.838321686E0,3.500000000E1
4.541199457E1,1.231004232E1,7.664437475E1,7.638394931E2,6.757572021E2,8.409999847E0,7.800000191E0,1.499192457E-1,3.790092468E0,2.854193687E0,3.500000000E1
4.641506311E1,1.231011715E1,7.664438199E1,7.629772439E2,6.748952637E2,8.239999771E0,7.599999905E0,1.593403956E-1,3.790092468E0,2.816042423E0,3.400000000E1
4.741055800E1,1.231020167E1,7.664438804E1,7.619305059E2,6.738488770E2,9.199999809E0,4.199999809E0,1.678717021E-1,3.790092468E0,2.946490765E0,3.300000000E1
4.841307660E1,1.231027839E1,7.664438883E1,7.640822858E2,6.760009766E2,8.029999733E0,3.200000048E0,1.749388262E-1,3.790092468E0,3.044337034E0,3.300000000E1
4.940913373E1,1.231034170E1,7.664439455E1,7.641306068E2,6.760495605E2,7.400000095E0,4.300000191E0,1.822716263E-1,3.790092468E0,3.139944792E0,3.300000000E1
5.041795967E1,1.231040586E1,7.664441015E1,7.637817091E2,6.757009277E2,7.260000229E0,1.069999981E1,1.900487058E-1,3.790092468E0,3.180387259E0,3.000000000E1
5.140652436E1,1.231047491E1,7.664442154E1,7.639977318E2,6.759172363E2,7.730000019E0,9.899999619E0,1.963172736E-1,3.790092468E0,3.259765863E0,2.900000000E1
5.241313394E1,1.231052874E1,7.664443868E1,7.632063725E2,6.751260986E2,6.090000153E0,1.500000000E1,2.038420267E-1,3.790092468E0,3.414066792E0,3.000000000E1
5.341061217E1,1.231059604E1,7.664444593E1,7.631758197E2,6.750958252E2,7.489999771E0,7.599999905E0,2.111793896E-1,3.790092468E0,3.429930210E0,2.800000000E1
