"Time (s)","Latitude (°)","Longitude (°)","Altitude (m)","Altitude WGS84 (m)","Speed (m/s)","Direction (°)","Distance (km)","Horizontal Accuracy (m)","Vertical Accuracy (m)","Satellites"
4.150449280E1,1.231650712E1,7.664522682E1,7.511047950E2,6.630493164E2,4.900000095E-1,3.496000061E2,2.482188781E-1,5.252740383E0,5.932288170E0,2.100000000E1
4.250845972E1,1.231652224E1,7.664522654E1,7.515185503E2,6.634631348E2,8.399999738E-1,3.495000000E2,2.497858439E-1,5.323940754E0,5.897200108E0,1.900000000E1
4.351286368E1,1.231653449E1,7.664521941E1,7.520656173E2,6.640102539E2,6.299999952E-1,3.495000000E2,2.520282661E-1,5.053278446E0,5.642783165E0,2.100000000E1
4.450060795E1,1.231655125E1,7.664523089E1,7.526690648E2,6.646137695E2,9.100000262E-1,3.493999939E2,2.538408615E-1,5.391112328E0,5.972566605E0,1.800000000E1
4.550176972E1,1.231656497E1,7.664523990E1,7.539304836E2,6.658752441E2,8.600000143E-1,3.493999939E2,2.552109963E-1,5.817670822E0,5.837852001E0,1.800000000E1
4.650327144E1,1.231657686E1,7.664524321E1,7.533537744E2,6.652985840E2,8.399999738E-1,3.492999878E2,2.568370118E-1,5.218962669E0,5.585698605E0,2.000000000E1
4.751161644E1,1.231658515E1,7.664525554E1,7.541220523E2,6.660668945E2,7.099999785E-1,3.492999878E2,2.582923086E-1,5.141915321E0,5.658995628E0,2.100000000E1
4.850452519E1,1.231659062E1,7.664526771E1,7.540629494E2,6.660078125E2,7.500000000E-1,3.492000122E2,2.591246478E-1,5.516993999E0,5.936724186E0,2.000000000E1
4.950593206E1,1.231659046E1,7.664527537E1,7.528966915E2,6.648415527E2,5.699999928E-1,3.492000122E2,2.604645932E-1,6.529344082E0,6.307578564E0,2.000000000E1
5.050363134E1,1.231660090E1,7.664528153E1,7.562871519E2,6.682320557E2,8.899999857E-1,3.491000061E2,2.621963365E-1,7.461452007E0,6.486259460E0,2.100000000E1
5.150002717E1,1.231661477E1,7.664528878E1,7.564261333E2,6.683710938E2,1.190000057E0,3.491000061E2,2.636612384E-1,7.851898193E0,6.414855957E0,2.000000000E1
5.250671633E1,1.231661834E1,7.664530176E1,7.535594212E2,6.655043945E2,1.169999957E0,3.490000000E2,2.651405915E-1,9.030856133E0,6.605529785E0,1.800000000E1
5.350820092E1,1.231663162E1,7.664530258E1,7.523420808E2,6.642871094E2,1.450000048E0,3.487999878E2,2.675711893E-1,7.675946712E0,6.772355080E0,1.900000000E1
5.450546540E1,1.231665346E1,7.664530351E1,7.521666969E2,6.641118164E2,1.580000043E0,3.487999878E2,2.699651861E-1,7.609975815E0,6.489121914E0,1.900000000E1
5.550755128E1,1.231667334E1,7.664531197E1,7.521580705E2,6.641032715E2,1.620000005E0,3.487000122E2,2.726319457E-1,7.636130333E0,6.258002281E0,2.000000000E1
5.650189654E1,1.231669607E1,7.664531980E1,7.524764584E2,6.644217529E2,1.769999981E0,3.486000061E2,2.745406354E-1,8.470296860E0,6.247754574E0,1.900000000E1
5.750556946E1,1.231671274E1,7.664532399E1,7.526688944E2,6.646142578E2,1.600000024E0,3.485000000E2,2.767251695E-1,9.124496460E0,6.049520969E0,1.800000000E1
5.850625399E1,1.231672504E1,7.664533967E1,7.522320780E2,6.641774902E2,1.639999986E0,3.483999939E2,2.783405786E-1,9.440690994E0,6.089106560E0,1.800000000E1
5.950482566E1,1.231673419E1,7.664535122E1,7.526446393E2,6.645900879E2,1.480000019E0,3.482999878E2,2.805212860E-1,1.026063442E1,6.057487488E0,2.000000000E1
6.050947211E1,1.231674767E1,7.664536580E1,7.525002983E2,6.644458008E2,1.730000019E0,3.480000000E2,2.832659454E-1,1.115773201E1,6.064135075E0,1.900000000E1
